sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
70,1,25,High Variance,Decile 40,0.833333333333333,80,Small Scale,0.85780003255019,68.3322154378842
75,2,25,High Variance,Decile 40,0.8,80,Medium Scale,13.0295118026603,73.2130879691617
60,3,25,High Variance,Decile 40,0.833333333333333,80,Large Scale,162.128181044456,58.5704703753293
35,1,25,Low Variance,Decile 40,0.833333333333333,80,Small Scale,0.295684771306498,34.1661077189421
40,2,25,Low Variance,Decile 40,0.9,80,Medium Scale,5.116907323888,39.0469802502196
35,3,25,Low Variance,Decile 40,0.9,80,Large Scale,59.9135668107522,34.1661077189421
35,1,25,Medium Variance,Decile 40,0.833333333333333,80,Small Scale,0.417404719798489,34.1661077189421
65,2,25,Medium Variance,Decile 40,0.833333333333333,80,Medium Scale,10.5420259369207,63.4513429066068
40,3,25,Medium Variance,Decile 40,0.833333333333333,80,Large Scale,106.191504436744,39.0469802502196
40,1,25,High Variance,Decile 50,0.8,80,Small Scale,0.85780003255019,39.0469802502196
40,2,25,High Variance,Decile 50,0.8,80,Medium Scale,13.0295118026603,39.0469802502196
35,3,25,High Variance,Decile 50,0.9,80,Large Scale,162.128181044456,34.1661077189421
30,1,25,Low Variance,Decile 50,0.8,80,Small Scale,0.295684771306498,29.2852351876647
40,2,25,Low Variance,Decile 50,0.9,80,Medium Scale,5.116907323888,39.0469802502196
35,3,25,Low Variance,Decile 50,0.9,80,Large Scale,59.9135668107522,34.1661077189421
35,1,25,Medium Variance,Decile 50,0.833333333333333,80,Small Scale,0.417404719798489,34.1661077189421
50,2,25,Medium Variance,Decile 50,0.833333333333333,80,Medium Scale,10.5420259369207,48.8087253127744
30,3,25,Medium Variance,Decile 50,0.8,80,Large Scale,106.191504436744,29.2852351876647
40,1,25,High Variance,Decile 60,0.833333333333333,80,Small Scale,0.85780003255019,39.0469802502196
40,2,25,High Variance,Decile 60,0.833333333333333,80,Medium Scale,13.0295118026603,39.0469802502196
35,3,25,High Variance,Decile 60,0.933333333333333,80,Large Scale,162.128181044456,34.1661077189421
30,1,25,Low Variance,Decile 60,0.866666666666667,80,Small Scale,0.295684771306498,29.2852351876647
30,2,25,Low Variance,Decile 60,0.833333333333333,80,Medium Scale,5.116907323888,29.2852351876647
30,3,25,Low Variance,Decile 60,0.833333333333333,80,Large Scale,59.9135668107522,29.2852351876647
35,1,25,Medium Variance,Decile 60,0.866666666666667,80,Small Scale,0.417404719798489,34.1661077189421
35,2,25,Medium Variance,Decile 60,1,80,Medium Scale,10.5420259369207,34.1661077189421
30,3,25,Medium Variance,Decile 60,0.833333333333333,80,Large Scale,106.191504436744,29.2852351876647
30,1,25,High Variance,Decile 70,0.8,80,Small Scale,0.85780003255019,29.2852351876647
30,2,25,High Variance,Decile 70,0.8,80,Medium Scale,13.0295118026603,29.2852351876647
30,3,25,High Variance,Decile 70,0.8,80,Large Scale,162.128181044456,29.2852351876647
30,1,25,Low Variance,Decile 70,0.9,80,Small Scale,0.295684771306498,29.2852351876647
30,2,25,Low Variance,Decile 70,0.866666666666667,80,Medium Scale,5.116907323888,29.2852351876647
30,3,25,Low Variance,Decile 70,0.866666666666667,80,Large Scale,59.9135668107522,29.2852351876647
30,1,25,Medium Variance,Decile 70,0.833333333333333,80,Small Scale,0.417404719798489,29.2852351876647
35,2,25,Medium Variance,Decile 70,1,80,Medium Scale,10.5420259369207,34.1661077189421
30,3,25,Medium Variance,Decile 70,0.866666666666667,80,Large Scale,106.191504436744,29.2852351876647
30,1,25,High Variance,Decile 80,0.9,80,Small Scale,0.85780003255019,29.2852351876647
25,2,25,High Variance,Decile 80,0.833333333333333,80,Medium Scale,13.0295118026603,24.4043626563872
30,3,25,High Variance,Decile 80,0.866666666666667,80,Large Scale,162.128181044456,29.2852351876647
30,1,25,Low Variance,Decile 80,0.966666666666667,80,Small Scale,0.295684771306498,29.2852351876647
30,2,25,Low Variance,Decile 80,0.9,80,Medium Scale,5.116907323888,29.2852351876647
30,3,25,Low Variance,Decile 80,0.933333333333333,80,Large Scale,59.9135668107522,29.2852351876647
25,1,25,Medium Variance,Decile 80,0.833333333333333,80,Small Scale,0.417404719798489,24.4043626563872
25,2,25,Medium Variance,Decile 80,0.8,80,Medium Scale,10.5420259369207,24.4043626563872
25,3,25,Medium Variance,Decile 80,0.933333333333333,80,Large Scale,106.191504436744,24.4043626563872
20,1,25,High Variance,Decile 90,0.933333333333333,80,Small Scale,0.85780003255019,19.5234901251098
25,2,25,High Variance,Decile 90,0.9,80,Medium Scale,13.0295118026603,24.4043626563872
20,3,25,High Variance,Decile 90,0.866666666666667,80,Large Scale,162.128181044456,19.5234901251098
30,1,25,Low Variance,Decile 90,1,80,Small Scale,0.295684771306498,29.2852351876647
20,2,25,Low Variance,Decile 90,0.833333333333333,80,Medium Scale,5.116907323888,19.5234901251098
25,3,25,Low Variance,Decile 90,0.9,80,Large Scale,59.9135668107522,24.4043626563872
20,1,25,Medium Variance,Decile 90,0.833333333333333,80,Small Scale,0.417404719798489,19.5234901251098
25,2,25,Medium Variance,Decile 90,0.833333333333333,80,Medium Scale,10.5420259369207,24.4043626563872
20,3,25,Medium Variance,Decile 90,0.833333333333333,80,Large Scale,106.191504436744,19.5234901251098
480,1,30,High Variance,Decile 0,0.8,80,Small Scale,0.959147328717719,447.592141160553
75,1,30,Low Variance,Decile 0,0.8,80,Small Scale,0.365907561055948,69.9362720563365
105,2,30,Low Variance,Decile 0,0.8,80,Medium Scale,5.36156474401855,97.9107808788711
