"RT" "zRT" "Pp" "Type" "Prime" "Target" "accTarget" "accPrime"
0.533263206 -0.67996163792722 3 "R" "lepel" "bestek" 1 1
0.506595075 -0.776906913889711 3 "R" "nonkel" "tante" 1 1
0.599939942 -0.437575151532723 3 "R" "tenor" "opera" 1 1
0.533524513 -0.679011722118499 3 "R" "ananas" "sappig" 1 1
1.520189881 2.90776180855722 3 "U" "boete" "mossel" 1 1
0.853665888 0.484781644067767 3 "U" "appel" "wenen" 1 1
0.520167649 -0.727567238306471 3 "U" "louter" "harnas" 1 1
0.640239358 -0.291076770928277 3 "U" "marmer" "gezond" 1 1
1.106849074 1.40516537234001 3 "U" "oester" "straf" 1 1
0.693266749 -0.0983090417587335 3 "U" "chemie" "dadels" 1 1
0.640177786 -0.291300600432173 3 "U" "cactus" "zwak" 1 1
0.54686451 -0.630517521662389 3 "U" "slogan" "geld" 1 1
0.78695327 0.242264717696352 3 "U" "pyjama" "scampi" 1 1
0.573658049 -0.533116356490118 3 "U" "specht" "keuken" 1 1
1.186969996 1.69642481206825 3 "U" "saldo" "plant" 1 1
0.679933369 -0.146779187777319 3 "U" "slap" "nacht" 1 0
1.186609983 1.69511607544793 3 "U" "radijs" "papier" 1 1
0.573488653 -0.533732152998953 3 "U" "ekster" "tafel" 1 1
0.626859009 -0.339717660920884 3 "U" "hagel" "alleen" 1 1
0.853519082 0.484247967816404 3 "U" "cape" "bitter" 1 1
0.72031945 0.0000342416148091143 3 "U" "oven" "insect" 1 1
0.693522274 -0.0973801449552673 3 "U" "arbeid" "zacht" 1 1
0.453542411 -0.918210054064325 4 "R" "hengst" "veulen" 1 1
0.626599729 0.0953543646471909 4 "R" "matrak" "wapen" 1 0
0.559939682 -0.295061091744184 4 "R" "eland" "gewei" 1 0
0.453533441 -0.918262589680507 4 "R" "erwt" "wortel" 1 1
0.480390608 -0.760965174158367 4 "R" "ijzel" "glad" 1 1
0.613654435 0.0195361933049095 4 "R" "sauna" "warm" 1 1
0.573524177 -0.215499239420988 4 "R" "wrat" "lelijk" 1 0
0.973527253 2.12724413539982 4 "R" "orgel" "kerk" 1 1
0.466854572 -0.840243211161102 4 "R" "cadeau" "pakje" 1 1
0.626606166 0.0953920649550343 4 "R" "sober" "karig" 1 1
0.866850495 1.50245826987347 4 "R" "ezel" "balken" 1 1
0.573528647 -0.215473059465098 4 "R" "satijn" "zijde" 1 1
0.626976073 0.0975585412287067 4 "R" "eclair" "gebak" 1 0
0.626856267 0.0968568598427268 4 "R" "poema" "tijger" 1 1
0.573651254 -0.21475497314479 4 "R" "paniek" "brand" 1 1
0.466870338 -0.840150872641067 4 "R" "klank" "geluid" 1 1
0.773644924 0.956570632857798 4 "R" "zakmes" "scherp" 1 1
0.506619096 -0.607349814226567 4 "R" "intens" "hevig" 1 1
0.693528831 0.487345625967406 4 "U" "cement" "pels" 1 1
0.640220344 0.175127765070329 4 "U" "sabel" "leuze" 0 1
0.719896734 0.641777513539111 4 "U" "soepel" "zwart" 1 1
0.626630783 0.0955362421304568 4 "U" "vracht" "degen" 0 1
0.746587515 0.798100437307185 4 "U" "matras" "vogel" 1 1
0.800394833 1.11323985828848 4 "U" "servet" "winter" 1 1
0.533534586 -0.449710811776606 4 "U" "kever" "fysica" 1 1
0.78697288 1.03462998412865 4 "U" "mixer" "snavel" 1 1
0.733247638 0.719971266963819 4 "U" "vijgen" "lenig" 1 1
0.493296593 -0.685377228293953 4 "U" "ajuin" "werk" 1 1
0.986577809 2.20367880663402 4 "U" "fazant" "lading" 1 1
0.506591797 -0.607509699375523 4 "U" "gezag" "proper" 1 1
0.666644931 0.329891640252694 4 "U" "gamba" "mantel" 1 0
0.453651845 -0.917569119546911 4 "U" "nerts" "pizza" 1 1
0.64036411 0.175969775705328 4 "U" "ridder" "mortel" 1 1
0.533649802 -0.449036013164124 4 "U" "patrijs" "hard" 1 1
1.133515239 3.06426391534878 4 "U" "netjes" "macht" 1 1
0.48018679 -0.762158898151552 4 "U" "karton" "jacht" 1 1
0.893268883 1.65718583866958 4 "R" "heks" "bezem" 1 1
0.466856509 -0.84023186651355 4 "R" "zomer" "strand" 1 1
0.440202057 -0.996342018107683 4 "R" "okapi" "zebra" 1 1
0.546593428 -0.373227610986591 4 "R" "libel" "vijver" 1 0
0.533641517 -0.449084536863128 4 "R" "sofa" "zetel" 1 1
0.546883881 -0.371526481964656 4 "R" "lepra" "ziekte" 1 1
0.626889884 0.0970537483387329 4 "R" "tenger" "smal" 1 0
0.453613073 -0.917796199915985 4 "R" "alarm" "gevaar" 1 1
0.586616516 -0.138819852952574 4 "R" "nummer" "getal" 1 1
0.439961761 -0.997749386940006 4 "R" "taxi" "stad" 1 1
0.519944072 -0.529307916259646 4 "R" "balkon" "terras" 1 1
0.426844358 -1.07457556857943 4 "R" "vallei" "bergen" 1 1
0.546611905 -0.373119394645433 4 "R" "absurd" "bizar" 1 1
0.666612744 0.329703126999848 4 "R" "venkel" "anijs" 1 1
0.573256493 -0.21706701465866 4 "R" "lepel" "bestek" 1 1
0.426605403 -1.07597508342499 4 "R" "nonkel" "tante" 1 1
0.613647878 0.0194977901794574 4 "R" "tenor" "opera" 1 0
0.693578899 0.487638864900626 4 "R" "ananas" "sappig" 1 1
0.906870723 1.73684927742117 4 "U" "boete" "mossel" 1 1
0.559951901 -0.294989527341272 4 "U" "appel" "wenen" 1 1
0.493518889 -0.684075282102797 4 "U" "louter" "harnas" 1 1
0.426856577 -1.07450400417652 4 "U" "marmer" "gezond" 1 1
0.506588638 -0.607528201049048 4 "U" "oester" "straf" 1 1
0.61355561 0.0189573937208365 4 "U" "chemie" "dadels" 1 1
0.759934962 0.876273943727975 4 "U" "cactus" "zwak" 1 0
0.466617763 -0.841630157285106 4 "U" "slogan" "geld" 1 1
0.547341585 -0.368845795045066 4 "U" "pyjama" "scampi" 1 1
0.467003584 -0.839370475683016 4 "U" "specht" "keuken" 1 1
0.586543381 -0.139248191000448 4 "U" "saldo" "plant" 1 1
0.480326325 -0.76134166769404 4 "U" "slap" "nacht" 1 1
0.49364689 -0.683325604131019 4 "U" "radijs" "papier" 1 1
0.773254931 0.954286516630211 4 "U" "ekster" "tafel" 1 1
0.50687027 -0.605878734978098 4 "U" "hagel" "alleen" 1 1
1.319915652 4.15597635162917 4 "U" "cape" "bitter" 1 1
0.546867013 -0.371625274693056 4 "U" "oven" "insect" 1 1
0.466996998 -0.839409048656056 4 "U" "arbeid" "zacht" 1 1
1.20032692 3.34934715267117 5 "R" "soepel" "lenig" 1 1
0.440199196 -0.83435622126481 5 "R" "karton" "papier" 1 1
0.426981628 -0.907105026617986 5 "R" "pyjama" "nacht" 1 1
0.559953392 -0.175235368243285 5 "R" "slap" "zwak" 1 0
0.586639941 -0.0283539934889441 5 "R" "vracht" "lading" 1 1
0.466859967 -0.687616727278883 5 "R" "matras" "zacht" 0 0
0.493266881 -0.542274448989561 5 "R" "hagel" "winter" 1 1
0.466863692 -0.687596225073036 5 "R" "netjes" "proper" 1 1
0.51994586 -0.395434739120661 5 "R" "cape" "mantel" 1 0
0.453683197 -0.76014098256651 5 "R" "fazant" "vogel" 1 1
1.079934955 2.68671605231509 5 "R" "louter" "alleen" 1 1
0.520182073 -0.394134635080425 5 "R" "ekster" "zwart" 1 0
0.480197608 -0.614207046392087 5 "R" "marmer" "hard" 1 1
0.507007837 -0.466644943364128 5 "R" "ajuin" "wenen" 1 1
0.480185747 -0.614272328717874 5 "R" "cactus" "plant" 1 1
0.639925957 0.264929461230577 5 "R" "sabel" "degen" 0 1
0.786924183 1.07400003537372 5 "R" "slogan" "leuze" 0 1
0.453528047 -0.760994920079866 5 "R" "saldo" "geld" 1 1
0.493671656 -0.540046588487021 5 "U" "hengst" "opera" 1 1
0.560179353 -0.1739916906767 5 "U" "paniek" "geluid" 1 1
0.547032535 -0.246351091717468 5 "U" "lepra" "zijde" 1 1
0.69353354 0.559982803957559 5 "U" "ijzel" "tante" 1 1
0.519942939 -0.395450816152414 5 "U" "okapi" "wapen" 1 1
0.72033304 0.707485855128729 5 "U" "nummer" "scherp" 1 0
0.773518205 1.00021423120075 5 "U" "vallei" "bizar" 1 1
0.866629601 1.51269450168367 5 "U" "matrak" "sappig" 1 0
0.560196579 -0.173896879670544 5 "U" "venkel" "kerk" 1 1
0.506856322 -0.467478874026946 5 "U" "sauna" "lelijk" 1 1
0.506615341 -0.468805220890666 5 "U" "zakmes" "anijs" 1 1
0.520193577 -0.39407131766403 5 "U" "klank" "ziekte" 1 1
0.680189013 0.486535222885671 5 "U" "tenger" "bestek" 1 0
0.453281134 -0.762353916362403 5 "U" "cadeau" "warm" 1 1
0.880302966 1.58795198996805 5 "U" "sofa" "bergen" 1 0
0.480139196 -0.614528542995569 5 "U" "ananas" "brand" 1 1
0.546945989 -0.246827436390565 5 "U" "intens" "wortel" 1 0
0.493504524 -0.540966474303859 5 "U" "balkon" "zebra" 1 1
0.439802915 -0.836537331234069 5 "R" "boete" "straf" 1 1
0.546839595 -0.247413023421155 5 "R" "nerts" "pels" 1 0
0.519939125 -0.395471808209623 5 "R" "gezag" "macht" 1 1
