suj,congr,item,side,aff-ness,RT,liking
5,invalid,G,R,non-aff,152127.1,3
5,invalid,G,L,non-aff,8705.2,3
5,invalid,G,L,non-aff,33120.9,1
5,invalid,K,R,non-aff,58336.5,5
5,invalid,K,R,non-aff,257421.5,6
5,invalid,K,L,non-aff,24529,6
5,invalid,K,L,non-aff,239821.7,4
5,invalid,K,L,non-aff,291892.9,7
5,valid,S,R,aff,18033.1,6
5,valid,S,R,aff,81128.1,4
5,valid,S,L,aff,112439.7,8
5,valid,S,L,aff,223990,4
5,valid,L,R,aff,169654.8,5
5,valid,L,R,aff,273493.3,5
5,valid,L,L,aff,201462.3,6
5,valid,S,R,non-aff,32992.9,5
5,valid,S,R,non-aff,289541,8
5,valid,S,L,non-aff,152039.1,4
5,valid,S,L,non-aff,216934.1,7
5,valid,S,L,non-aff,231869.9,6
5,valid,L,R,non-aff,25137,4
5,valid,L,R,non-aff,66328.4,4
5,valid,L,R,non-aff,73592.3,6
5,valid,L,L,non-aff,57224.5,4
5,valid,L,L,non-aff,122711.5,6
5,invalid,S,R,aff,208766.2,5
5,invalid,S,R,aff,280677.2,6
5,invalid,S,L,aff,162326.9,4
5,invalid,S,L,aff,240629.8,6
5,invalid,L,R,aff,265125.4,4
5,invalid,L,L,aff,88392,4
5,invalid,L,L,aff,96167.9,3
5,invalid,L,L,aff,256613.5,4
5,invalid,S,R,non-aff,10297.2,3
5,invalid,S,R,non-aff,41072.7,4
5,invalid,S,R,non-aff,186230.6,6
5,invalid,S,L,non-aff,104391.8,7
5,invalid,S,L,non-aff,145119.2,7
5,invalid,L,R,non-aff,137263.3,6
5,invalid,L,R,non-aff,193582.4,7
5,invalid,L,R,non-aff,249181.6,5
5,invalid,L,L,non-aff,48400.6,6
5,invalid,L,L,non-aff,129711.4,5
6,valid,G,R,aff,134234.5,1
6,valid,G,R,aff,246248.8,2
6,valid,G,R,aff,252008.7,1
6,valid,G,L,aff,15980.2,1
6,valid,K,R,aff,107194.8,5
6,valid,K,R,aff,157530.1,9
6,valid,K,L,aff,92947.1,3
6,valid,G,R,non-aff,192833.6,3
6,valid,G,L,non-aff,30964,9
6,valid,G,L,non-aff,165346,1
6,valid,G,L,non-aff,185689.7,1
6,valid,G,L,non-aff,219001.2,3
